"customer_key","customer_number","customer_name","age","age_group","customer_segment","last_order","recency","total_orders","total_sales","avg_order_value","total_quantity","total_products","lifespan","monthly_spend"
69,AW00011068,Tiffany Liang,60,"50 and above",new,2013-10-08,155,9,113,12,9,9,6,18.8333333333333333
70,AW00011069,Carolyn Navarro,60,"50 and above",VIP,2013-06-04,159,3,8104,2701,3,3,26,311.6923076923076923
71,AW00011070,Willie Raji,65,"50 and above",VIP,2013-06-26,159,10,8165,816,10,10,26,314.0384615384615385
72,AW00011071,Linda Serrano,65,"50 and above",new,2013-12-01,153,7,110,15,7,7,9,12.2222222222222222
73,AW00011072,Casey Luo,66,"50 and above",VIP,2013-06-15,159,7,8194,1170,7,7,27,303.4814814814814815
74,AW00011073,Amy Ye,64,"50 and above",new,2013-08-21,157,10,192,19,10,10,5,38.4000000000000000
75,AW00011074,Levi Arun,64,"50 and above",new,2013-05-27,160,7,94,13,7,7,2,47.0000000000000000
76,AW00011075,Felicia Jimenez,63,"50 and above",VIP,2013-06-24,159,5,8068,1613,5,5,26,310.3076923076923077
77,AW00011076,Blake Anderson,63,"50 and above",VIP,2013-06-21,159,4,8159,2039,4,4,26,313.8076923076923077
78,AW00011077,Leah Ye,63,"50 and above",VIP,2013-06-12,159,5,8169,1633,5,5,26,314.1923076923076923
79,AW00011078,Gina Martin,41,"40 - 49",new,2014-01-28,152,31,912,29,31,31,11,82.9090909090909091
80,AW00011079,Donald Gonzalez,56,"50 and above",new,2014-01-01,152,5,58,11,5,5,10,5.8000000000000000
81,AW00011080,Damien Chander,61,"50 and above",VIP,2013-06-23,159,7,8204,1172,7,7,26,315.5384615384615385
82,AW00011081,Savannah Baker,54,"50 and above",new,2013-04-13,161,5,104,20,5,5,2,52.0000000000000000
83,AW00011082,Angela Butler,54,"50 and above",new,2013-11-06,154,6,3110,518,6,6,10,311.0000000000000000
84,AW00011083,Alyssa Cox,49,"40 - 49",new,2013-11-08,154,5,3137,627,5,5,10,313.7000000000000000
85,AW00011084,Lucas Phillips,63,"50 and above",new,2013-11-21,154,5,3078,615,5,5,10,307.8000000000000000
86,AW00011085,Emily Johnson,63,"50 and above",new,2014-01-08,152,5,129,25,5,5,1,129.0000000000000000
87,AW00011086,Ryan Brown,63,"50 and above",new,2013-12-21,153,6,153,25,6,6,5,30.6000000000000000
88,AW00011087,Tamara Liang,63,"50 and above",new,2013-08-09,157,4,200,50,4,4,6,33.3333333333333333
89,AW00011088,Hunter Davis,63,"50 and above",new,2013-11-12,154,7,3176,453,7,7,10,317.6000000000000000
90,AW00011089,Abigail Price,64,"50 and above",new,2013-11-18,154,7,3188,455,7,7,11,289.8181818181818182
91,AW00011090,Trevor Bryant,57,"50 and above",VIP,2013-11-21,154,6,6703,1117,6,6,27,248.2592592592592593
92,AW00011091,Dalton Perez,63,"50 and above",regular,2014-01-08,152,59,1186,20,59,59,12,98.8333333333333333
93,AW00011092,Cheryl Diaz,53,"50 and above",VIP,2013-06-21,159,5,8110,1622,5,5,26,311.9230769230769231
94,AW00011093,Aimee He,48,"40 - 49",VIP,2013-06-08,159,7,8180,1168,7,7,26,314.6153846153846154
95,AW00011094,Cedric Ma,58,"50 and above",new,2014-01-11,152,8,236,29,8,8,9,26.2222222222222222
96,AW00011095,Chad Kumar,58,"50 and above",VIP,2013-06-25,159,7,8158,1165,7,7,26,313.7692307692307692
97,AW00011096,Andrés Anand,58,"50 and above",VIP,2013-07-30,158,4,8063,2015,4,4,27,298.6296296296296296
98,AW00011097,Edwin Nara,53,"50 and above",VIP,2013-07-24,158,5,8099,1619,5,5,27,299.9629629629629630
99,AW00011098,Mallory Rubio,59,"50 and above",new,2013-10-16,155,4,89,22,4,4,8,11.1250000000000000
100,AW00011099,Adam Ross,60,"50 and above",VIP,2013-07-01,158,9,8216,912,9,9,27,304.2962962962962963
101,AW00011100,Latasha Navarro,60,"50 and above",VIP,2013-08-07,157,7,8172,1167,7,7,28,291.8571428571428571
102,AW00011101,Abby Sai,55,"50 and above",VIP,2013-06-29,159,7,8262,1180,7,7,26,317.7692307692307692
103,AW00011102,Julia Nelson,55,"50 and above",new,2013-12-09,153,5,103,20,5,5,5,20.6000000000000000
104,AW00011103,Cassie Chande,45,"40 - 49",VIP,2013-06-06,159,8,8182,1022,8,8,26,314.6923076923076923
105,AW00011104,Edgar Sara,51,"50 and above",VIP,2013-06-15,159,6,8173,1362,6,6,25,326.9200000000000000
106,AW00011105,Candace Fernandez,56,"50 and above",VIP,2013-06-05,159,5,8096,1619,5,5,25,323.8400000000000000
107,AW00011106,Jessie Liu,56,"50 and above",VIP,2013-06-15,159,3,8079,2693,3,3,25,323.1600000000000000
108,AW00011107,Bianca Lin,50,"50 and above",VIP,2013-06-21,159,6,8171,1361,6,6,25,326.8400000000000000
109,AW00011108,Kari Alvarez,57,"50 and above",VIP,2013-06-23,159,5,8124,1624,5,5,25,324.9600000000000000
110,AW00011109,Ruben Kapoor,46,"40 - 49",VIP,2013-06-24,159,8,8245,1030,8,8,25,329.8000000000000000
111,AW00011110,Curtis Yang,58,"50 and above",VIP,2013-08-20,157,5,8093,1618,5,5,27,299.7407407407407407
112,AW00011111,Meredith Gutierrez,59,"50 and above",VIP,2013-08-22,157,8,8137,1017,8,8,27,301.3703703703703704
113,AW00011112,Crystal Wang,58,"50 and above",VIP,2013-09-02,156,6,8295,1382,6,6,28,296.2500000000000000
114,AW00011113,Micheal Blanco,53,"50 and above",new,2013-04-21,161,7,110,15,7,7,2,55.0000000000000000
115,AW00011114,Leslie Moreno,58,"50 and above",new,2013-12-26,153,7,123,17,7,7,9,13.6666666666666667
116,AW00011115,Alvin Cai,59,"50 and above",new,2014-01-02,152,6,114,19,6,6,11,10.3636363636363636
117,AW00011116,Clinton Carlson,47,"40 - 49",new,2013-10-16,155,7,149,21,7,7,7,21.2857142857142857
118,AW00011117,April Deng,60,"50 and above",VIP,2013-06-25,159,8,8185,1023,8,8,25,327.4000000000000000
119,AW00011118,Alvin Zeng,63,"50 and above",new,2014-01-26,152,8,124,15,8,8,6,20.6666666666666667
120,AW00011119,Evan James,85,"50 and above",new,2013-11-23,154,4,85,21,4,4,9,9.4444444444444444
121,AW00011120,Beth Jiménez,84,"50 and above",VIP,2013-09-19,156,10,8242,824,10,10,28,294.3571428571428571
122,AW00011121,Orlando Suarez,60,"50 and above",new,2013-11-04,154,6,58,9,6,6,5,11.6000000000000000
123,AW00011122,Byron Vazquez,60,"50 and above",new,2013-08-22,157,3,43,14,3,3,6,7.1666666666666667
124,AW00011123,Philip Alvarez,60,"50 and above",new,2014-01-25,152,8,150,18,8,8,9,16.6666666666666667
125,AW00011124,Ross Jordan,58,"50 and above",VIP,2013-06-18,159,6,8129,1354,6,6,25,325.1600000000000000
126,AW00011125,Dana Navarro,64,"50 and above",new,2013-07-03,158,7,79,11,7,7,6,13.1666666666666667
127,AW00011126,Shaun Carson,71,"50 and above",regular,2013-11-03,154,8,4971,621,8,8,30,165.7000000000000000
128,AW00011127,Jan Edwards,45,"40 - 49",new,2013-10-01,155,3,44,14,3,3,6,7.3333333333333333
129,AW00011128,Samantha Long,45,"40 - 49",new,2013-08-12,157,7,144,20,7,7,2,72.0000000000000000
130,AW00011129,Julia Wright,45,"40 - 49",VIP,2013-01-09,164,2,5873,2936,2,2,17,345.4705882352941176
131,AW00011130,Caroline Russell,41,"40 - 49",new,2013-12-09,153,2,37,18,2,2,0,0
132,AW00011131,Amanda Rivera,41,"40 - 49",new,2014-01-23,152,9,166,18,9,9,3,55.3333333333333333
133,AW00011132,Melissa Richardson,40,"40 - 49",new,2013-04-09,161,6,2372,395,6,6,0,0
134,AW00011133,Angela Griffin,40,"40 - 49",new,2013-12-30,153,4,72,18,4,4,0,0
135,AW00011134,Larry Townsend,69,"50 and above",regular,2013-11-03,154,3,4911,1637,3,3,30,163.7000000000000000
136,AW00011135,Marcus Harris,41,"40 - 49",new,2013-04-18,161,3,2335,778,3,3,0,0
137,AW00011136,Brianna Morgan,42,"40 - 49",new,2013-01-03,164,3,2381,793,3,3,0,0
138,AW00011137,Jasmine Taylor,42,"40 - 49",new,2014-01-20,152,5,202,40,5,5,6,33.6666666666666667
139,AW00011138,Lauren Davis,42,"40 - 49",new,2013-12-31,153,4,79,19,4,4,3,26.3333333333333333
140,AW00011139,Tanya Moreno,76,"50 and above",new,2013-10-17,155,3,84,28,3,3,1,84.0000000000000000
141,AW00011140,Javier Alvarez,44,"40 - 49",new,2013-03-19,162,2,40,20,2,2,0,0
142,AW00011141,Nicole Ramirez,43,"40 - 49",new,2013-09-28,156,5,114,22,5,5,4,28.5000000000000000
143,AW00011142,Eduardo Patterson,43,"40 - 49",new,2014-01-13,152,36,979,27,36,36,11,89.0000000000000000
144,AW00011143,Jonathan Henderson,44,"40 - 49",new,2013-12-19,153,5,48,9,5,5,6,8.0000000000000000
145,AW00011144,Edward Hernandez,41,"40 - 49",new,2013-01-25,164,3,2400,800,3,3,0,0
146,AW00011145,Jasmine Coleman,41,"40 - 49",new,2013-01-25,164,3,2310,770,3,3,0,0
147,AW00011146,Karla Goel,81,"50 and above",new,2013-09-15,156,7,113,16,7,7,7,16.1428571428571429
148,AW00011147,Ernest Wu,82,"50 and above",VIP,2013-10-16,155,7,8195,1170,7,7,29,282.5862068965517241
149,AW00011148,Ross Vazquez,79,"50 and above",new,2013-12-03,153,6,126,21,6,6,9,14.0000000000000000
150,AW00011149,Theodore Gill,79,"50 and above",new,2013-11-29,154,4,41,10,4,4,5,8.2000000000000000
151,AW00011150,Russell Shen,80,"50 and above",new,2013-07-15,158,8,192,24,8,8,4,48.0000000000000000
152,AW00011151,Melinda Gill,79,"50 and above",VIP,2013-10-20,155,6,8087,1347,6,6,29,278.8620689655172414
153,AW00011152,James Williams,45,"40 - 49",new,2013-01-09,164,1,2295,2295,1,1,0,0
154,AW00011153,Angela James,44,"40 - 49",new,2013-03-29,162,5,110,22,5,5,0,0
155,AW00011154,Megan Walker,44,"40 - 49",new,2013-01-10,164,1,2320,2320,1,1,0,0
156,AW00011155,Hunter Robinson,45,"40 - 49",new,2013-01-06,164,1,2320,2320,1,1,0,0
157,AW00011156,Maria Roberts,45,"40 - 49",new,2013-01-08,164,4,2390,597,4,4,0,0
158,AW00011157,Hannah Long,45,"40 - 49",new,2013-09-11,156,3,41,13,3,3,2,20.5000000000000000
159,AW00011158,Jason Wright,45,"40 - 49",new,2013-01-19,164,3,2396,798,3,3,0,0
160,AW00011159,Brianna Hughes,45,"40 - 49",new,2013-11-07,154,5,48,9,5,5,2,24.0000000000000000
161,AW00011160,Maurice Tang,47,"40 - 49",new,2013-02-21,163,2,2322,1161,2,2,0,0
162,AW00011161,Emily Wood,46,"40 - 49",new,2013-11-11,154,6,94,15,6,6,5,18.8000000000000000
163,AW00011162,Chase Cox,47,"40 - 49",new,2013-02-18,163,2,2330,1165,2,2,0,0
164,AW00011163,Gabriel Wang,46,"40 - 49",new,2013-08-05,157,4,46,11,4,4,3,15.3333333333333333
165,AW00011164,Devin Brooks,46,"40 - 49",new,2013-08-05,157,6,145,24,6,6,4,36.2500000000000000
166,AW00011165,Jocelyn Alexander,47,"40 - 49",new,2013-06-05,159,3,103,34,3,3,1,103.0000000000000000
167,AW00011166,Ashley Martinez,48,"40 - 49",new,2013-12-06,153,5,88,17,5,5,2,44.0000000000000000
168,AW00011167,Jasmine Barnes,48,"40 - 49",new,2013-11-28,154,4,3126,781,4,4,10,312.6000000000000000
169,AW00011168,David Rodriguez,52,"50 and above",new,2013-11-16,154,7,3136,448,7,7,10,313.6000000000000000
170,AW00011169,Bryce Richardson,52,"50 and above",new,2013-09-24,156,5,81,16,5,5,4,20.2500000000000000
171,AW00011170,Carol Howard,53,"50 and above",new,2013-12-29,153,7,157,22,7,7,4,39.2500000000000000
172,AW00011171,Jonathan Hill,47,"40 - 49",VIP,2013-11-07,154,8,6716,839,8,8,27,248.7407407407407407
173,AW00011172,Gabrielle Adams,53,"50 and above",new,2014-01-11,152,7,129,18,7,7,8,16.1250000000000000
174,AW00011173,Sarah Thomas,53,"50 and above",new,2013-12-24,153,3,103,34,3,3,9,11.4444444444444444
175,AW00011174,Nicholas Robinson,53,"50 and above",new,2013-07-25,158,5,48,9,5,5,0,0
176,AW00011175,Luis Wang,58,"50 and above",VIP,2013-11-03,154,8,6710,838,8,8,27,248.5185185185185185
177,AW00011176,Mason Roberts,47,"40 - 49",new,2014-01-27,152,60,1317,21,60,60,11,119.7272727272727273
178,AW00011177,Jose Flores,78,"50 and above",new,2013-10-14,155,6,135,22,6,6,7,19.2857142857142857
179,AW00011178,Nathan Johnson,72,"50 and above",new,2013-05-26,160,6,145,24,6,6,3,48.3333333333333333
180,AW00011179,Molly Rodriguez,66,"50 and above",new,2014-01-09,152,6,125,20,6,6,10,12.5000000000000000
181,AW00011180,April Anand,78,"50 and above",new,2013-09-25,156,6,138,23,6,6,6,23.0000000000000000
182,AW00011181,Devin Martin,66,"50 and above",new,2013-07-11,158,3,41,13,3,3,2,20.5000000000000000
183,AW00011182,Stephanie Torres,76,"50 and above",new,2014-01-05,152,5,81,16,5,5,5,16.2000000000000000
184,AW00011183,Jasmine Lee,76,"50 and above",new,2013-06-13,159,4,46,11,4,4,2,23.0000000000000000
185,AW00011184,Meghan Hernandez,70,"50 and above",new,2013-10-09,155,5,68,13,5,5,2,34.0000000000000000
186,AW00011185,Ashley Henderson,76,"50 and above",new,2014-01-26,152,68,1616,23,68,68,11,146.9090909090909091
187,AW00011186,Sarah Price,76,"50 and above",new,2014-01-07,152,3,41,13,3,3,3,13.6666666666666667
188,AW00011187,Jennifer Cooper,77,"50 and above",new,2013-08-06,157,4,108,27,4,4,4,27.0000000000000000
189,AW00011188,Catherine Morris,76,"50 and above",new,2014-01-21,152,5,81,16,5,5,2,40.5000000000000000
190,AW00011189,Lawrence Blanco,76,"50 and above",VIP,2013-02-05,163,6,5944,990,6,6,18,330.2222222222222222
191,AW00011190,Carson Bryant,76,"50 and above",new,2014-01-16,152,4,46,11,4,4,5,9.2000000000000000
192,AW00011191,Kristi Perez,75,"50 and above",VIP,2013-11-06,154,7,6743,963,7,7,27,249.7407407407407407
193,AW00011192,James Brown,75,"50 and above",new,2013-09-25,156,5,114,22,5,5,3,38.0000000000000000
194,AW00011193,Ian Gray,76,"50 and above",new,2013-08-18,157,3,41,13,3,3,6,6.8333333333333333
195,AW00011194,Jacqueline Price,75,"50 and above",new,2013-12-08,153,6,105,17,6,6,9,11.6666666666666667
196,AW00011195,Megan Henderson,75,"50 and above",new,2013-10-22,155,6,105,17,6,6,6,17.5000000000000000
197,AW00011196,Alfredo Romero,74,"50 and above",new,2013-09-24,156,4,162,40,4,4,6,27.0000000000000000
198,AW00011197,Andrea Morris,74,"50 and above",new,2013-07-20,158,6,207,34,6,6,2,103.5000000000000000
199,AW00011198,Brooke Sanders,74,"50 and above",new,2013-02-13,163,4,98,24,4,4,0,0
200,AW00011199,Jacqueline Bennett,68,"50 and above",new,2013-10-17,155,6,132,22,6,6,7,18.8571428571428571
201,AW00011200,Jason Griffin,73,"50 and above",new,2014-01-20,152,55,1461,26,55,55,11,132.8181818181818182
202,AW00011201,Amanda Foster,73,"50 and above",new,2013-09-09,156,6,181,30,6,6,2,90.5000000000000000
203,AW00011202,Alexia Price,68,"50 and above",new,2013-09-21,156,3,74,24,3,3,0,0
204,AW00011203,Luis Diaz,67,"50 and above",new,2013-12-11,153,32,800,25,32,32,10,80.0000000000000000
205,AW00011204,Destiny Rivera,72,"50 and above",new,2013-11-10,154,4,77,19,4,4,3,25.6666666666666667
206,AW00011205,Abby Fernandez,72,"50 and above",new,2013-10-08,155,2,37,18,2,2,3,12.3333333333333333
207,AW00011206,Blake Flores,72,"50 and above",new,2013-05-30,160,4,77,19,4,4,0,0
208,AW00011207,Danielle Cox,72,"50 and above",new,2013-10-18,155,4,77,19,4,4,9,8.5555555555555556
209,AW00011208,Maria Reed,73,"50 and above",new,2013-09-17,156,7,134,19,7,7,6,22.3333333333333333
210,AW00011209,Allison Evans,73,"50 and above",new,2014-01-22,152,2,37,18,2,2,10,3.7000000000000000
211,AW00011210,Edward Wood,72,"50 and above",new,2013-09-06,156,5,70,14,5,5,4,17.5000000000000000
212,AW00011211,Samantha Russell,65,"50 and above",new,2014-01-07,152,33,792,24,33,33,11,72.0000000000000000
213,AW00011212,Chloe Campbell,71,"50 and above",regular,2014-01-17,152,33,824,24,33,33,12,68.6666666666666667
214,AW00011213,Stephanie Murphy,71,"50 and above",new,2013-09-09,156,4,77,19,4,4,6,12.8333333333333333
215,AW00011214,Charles Miller,71,"50 and above",new,2013-11-19,154,4,162,40,4,4,3,54.0000000000000000
216,AW00011215,Ana Perry,65,"50 and above",new,2013-12-15,153,32,1154,36,32,32,10,115.4000000000000000
217,AW00011216,Jasmine Torres,70,"50 and above",VIP,2013-02-05,163,5,5948,1189,5,5,18,330.4444444444444444
218,AW00011217,Natalie Adams,71,"50 and above",VIP,2013-02-14,163,3,5953,1984,3,3,18,330.7222222222222222
219,AW00011218,Olivia Brown,65,"50 and above",new,2014-01-04,152,3,39,13,3,3,11,3.5454545454545455
220,AW00011219,Charles Cook,70,"50 and above",new,2014-01-24,152,3,39,13,3,3,3,13.0000000000000000
221,AW00011220,Erica Huang,65,"50 and above",new,2013-12-13,153,4,50,12,4,4,9,5.5555555555555556
222,AW00011221,Nathan Perry,70,"50 and above",new,2013-10-17,155,4,46,11,4,4,6,7.6666666666666667
223,AW00011222,Alexandra Rivera,70,"50 and above",new,2013-11-28,154,6,208,34,6,6,0,0
224,AW00011223,Hailey Patterson,69,"50 and above",regular,2014-01-06,152,56,1293,23,65,56,12,107.7500000000000000
225,AW00011224,Tiffany Li,69,"50 and above",VIP,2013-12-03,153,5,6685,1337,5,5,28,238.7500000000000000
226,AW00011225,Madison Lee,64,"50 and above",new,2013-09-06,156,5,73,14,5,5,3,24.3333333333333333
227,AW00011226,Sydney Ross,64,"50 and above",new,2013-03-31,162,2,37,18,2,2,1,37.0000000000000000
228,AW00011227,Marshall Chavez,64,"50 and above",VIP,2013-02-10,163,5,5910,1182,5,5,18,328.3333333333333333
229,AW00011228,Ashley Jones,69,"50 and above",new,2014-01-17,152,4,77,19,4,4,3,25.6666666666666667
230,AW00011229,Adrian Stewart,69,"50 and above",new,2014-01-25,152,5,81,16,5,5,6,13.5000000000000000
231,AW00011230,Amber Turner,69,"50 and above",new,2013-12-09,153,5,54,10,5,5,5,10.8000000000000000
232,AW00011231,Dennis Zhang,62,"50 and above",new,2013-11-12,154,4,64,16,4,4,9,7.1111111111111111
233,AW00011232,Hailey Bryant,68,"50 and above",new,2013-11-13,154,3,39,13,3,3,2,19.5000000000000000
234,AW00011233,Todd Li,63,"50 and above",new,2013-06-08,159,7,179,25,7,7,4,44.7500000000000000
235,AW00011234,Anna Griffin,68,"50 and above",new,2013-09-19,156,4,76,19,4,4,7,10.8571428571428571
236,AW00011235,Angel Stewart,69,"50 and above",new,2014-01-05,152,6,138,23,6,6,6,23.0000000000000000
237,AW00011236,Jeremy Butler,69,"50 and above",new,2014-01-06,152,5,114,22,5,5,3,38.0000000000000000
238,AW00011237,Clarence Anand,62,"50 and above",VIP,2013-11-25,154,6,10566,1761,6,6,26,406.3846153846153846
239,AW00011238,Mayra Prasad,62,"50 and above",VIP,2013-04-30,161,9,7543,838,9,9,27,279.3703703703703704
240,AW00011239,Latoya Goel,56,"50 and above",VIP,2013-05-28,160,11,7511,682,11,11,28,268.2500000000000000
241,AW00011240,Anne Hernandez,62,"50 and above",VIP,2013-05-13,160,13,7586,583,13,13,27,280.9629629629629630
242,AW00011241,Lisa Cai,52,"50 and above",VIP,2013-10-29,155,25,11468,458,25,25,13,882.1538461538461538
